X_id,Year,Month,Total.decedents,Male,Female,Transgender.Non.binary.Two.Spirit
1,2007,Jan,0,0,0,n/a
2,2007,Feb,3,3,0,n/a
3,2007,Mar,3,2,1,n/a
4,2007,Apr,1,1,0,n/a
5,2007,May,2,2,0,n/a
6,2007,Jun,3,3,0,n/a
7,2007,Jul,2,2,0,n/a
8,2007,Aug,2,2,0,n/a
9,2007,Sep,2,2,0,n/a
10,2007,Oct,3,2,1,n/a
11,2007,Nov,1,1,0,n/a
12,2007,Dec,2,2,0,n/a
13,2008,Jan,3,2,1,n/a
14,2008,Feb,4,3,1,n/a
15,2008,Mar,1,0,1,n/a
16,2008,Apr,0,0,0,n/a
17,2008,May,0,0,0,n/a
18,2008,Jun,6,4,2,n/a
19,2008,Jul,6,5,1,n/a
20,2008,Aug,2,2,0,n/a
21,2008,Sep,1,0,1,n/a
22,2008,Oct,1,1,0,n/a
23,2008,Nov,1,1,0,n/a
24,2008,Dec,1,1,0,n/a
25,2009,Jan,1,1,0,n/a
26,2009,Feb,3,2,1,n/a
27,2009,Mar,1,1,0,n/a
28,2009,Apr,1,1,0,n/a
29,2009,May,1,1,0,n/a
30,2009,Jun,1,1,0,n/a
31,2009,Jul,0,0,0,n/a
32,2009,Aug,0,0,0,n/a
33,2009,Sep,2,1,1,n/a
34,2009,Oct,3,3,0,n/a
35,2009,Nov,2,2,0,n/a
36,2009,Dec,1,1,0,n/a
37,2010,Jan,1,0,1,n/a
38,2010,Feb,1,1,0,n/a
39,2010,Mar,0,0,0,n/a
40,2010,Apr,0,0,0,n/a
41,2010,May,1,1,0,n/a
42,2010,Jun,3,1,2,n/a
43,2010,Jul,2,1,1,n/a
44,2010,Aug,2,1,1,n/a
45,2010,Sep,0,0,0,n/a
46,2010,Oct,2,1,1,n/a
47,2010,Nov,4,1,3,n/a
48,2010,Dec,5,4,1,n/a
49,2011,Jan,1,0,1,n/a
50,2011,Feb,2,1,1,n/a
51,2011,Mar,2,1,1,n/a
52,2011,Apr,0,0,0,n/a
53,2011,May,4,4,0,n/a
54,2011,Jun,2,1,1,n/a
55,2011,Jul,0,0,0,n/a
56,2011,Aug,1,1,0,n/a
57,2011,Sep,2,2,0,n/a
58,2011,Oct,0,0,0,n/a
59,2011,Nov,2,2,0,n/a
60,2011,Dec,5,3,2,n/a
61,2012,Jan,2,2,0,n/a
62,2012,Feb,2,2,0,n/a
63,2012,Mar,1,1,0,n/a
64,2012,Apr,4,4,0,n/a
65,2012,May,1,1,0,n/a
66,2012,Jun,0,0,0,n/a
67,2012,Jul,3,3,0,n/a
68,2012,Aug,0,0,0,n/a
69,2012,Sep,1,1,0,n/a
70,2012,Oct,2,2,0,n/a
71,2012,Nov,0,0,0,n/a
72,2012,Dec,2,2,0,n/a
73,2013,Jan,2,1,1,n/a
74,2013,Feb,0,0,0,n/a
75,2013,Mar,0,0,0,n/a
76,2013,Apr,3,2,1,n/a
77,2013,May,2,2,0,n/a
78,2013,Jun,1,1,0,n/a
79,2013,Jul,2,2,0,n/a
80,2013,Aug,1,0,1,n/a
81,2013,Sep,0,0,0,n/a
82,2013,Oct,2,2,0,n/a
83,2013,Nov,0,0,0,n/a
84,2013,Dec,3,3,0,n/a
85,2014,Jan,2,2,0,n/a
86,2014,Feb,3,2,1,n/a
87,2014,Mar,3,3,0,n/a
88,2014,Apr,3,3,0,n/a
89,2014,May,1,1,0,n/a
90,2014,Jun,2,2,0,n/a
91,2014,Jul,4,3,1,n/a
92,2014,Aug,3,3,0,n/a
93,2014,Sep,5,4,1,n/a
94,2014,Oct,0,0,0,n/a
95,2014,Nov,1,1,0,n/a
96,2014,Dec,3,2,1,n/a
97,2015,Jan,7,6,1,n/a
98,2015,Feb,4,4,0,n/a
99,2015,Mar,5,5,0,n/a
100,2015,Apr,5,4,1,n/a
101,2015,May,2,2,0,n/a
102,2015,Jun,6,6,0,n/a
103,2015,Jul,4,4,0,n/a
104,2015,Aug,3,2,1,n/a
105,2015,Sep,1,1,0,n/a
106,2015,Oct,5,5,0,n/a
107,2015,Nov,1,1,0,n/a
108,2015,Dec,2,1,1,n/a
109,2016,Jan,3,2,1,n/a
110,2016,Feb,3,2,1,n/a
111,2016,Mar,4,3,1,n/a
112,2016,Apr,6,5,1,n/a
113,2016,May,5,4,1,n/a
114,2016,Jun,1,1,0,n/a
115,2016,Jul,1,1,0,n/a
116,2016,Aug,3,3,0,n/a
117,2016,Sep,0,0,0,n/a
118,2016,Oct,1,1,0,n/a
119,2016,Nov,3,2,1,n/a
120,2016,Dec,3,3,0,n/a
121,2017,Jan,4,3,1,n/a
122,2017,Feb,3,2,1,n/a
123,2017,Mar,3,3,0,n/a
124,2017,Apr,4,2,2,n/a
125,2017,May,2,2,0,n/a
126,2017,Jun,4,4,0,n/a
127,2017,Jul,1,0,1,n/a
128,2017,Aug,3,3,0,n/a
129,2017,Sep,4,2,2,n/a
130,2017,Oct,1,0,1,n/a
131,2017,Nov,4,2,2,n/a
132,2017,Dec,2,0,2,n/a
133,2018,Jan,4,4,0,n/a
134,2018,Feb,4,3,1,n/a
135,2018,Mar,1,0,1,n/a
136,2018,Apr,2,2,0,n/a
137,2018,May,1,1,0,n/a
138,2018,Jun,3,3,0,n/a
139,2018,Jul,2,1,1,n/a
140,2018,Aug,3,3,0,n/a
141,2018,Sep,0,0,0,n/a
142,2018,Oct,2,2,0,n/a
143,2018,Nov,3,3,0,n/a
144,2018,Dec,1,1,0,n/a
145,2019,Jan,5,4,1,n/a
146,2019,Feb,3,3,0,n/a
147,2019,Mar,4,2,2,n/a
148,2019,Apr,9,6,3,n/a
149,2019,May,6,6,0,n/a
150,2019,Jun,0,0,0,n/a
151,2019,Jul,3,2,1,n/a
152,2019,Aug,1,1,0,n/a
153,2019,Sep,2,2,0,n/a
154,2019,Oct,6,6,0,n/a
155,2019,Nov,6,4,2,n/a
156,2019,Dec,3,2,1,n/a
157,2020,Jan,7,4,3,0
158,2020,Feb,6,5,1,0
159,2020,Mar,1,1,0,0
160,2020,Apr,2,2,0,0
161,2020,May,8,6,2,0
162,2020,Jun,5,2,2,1
163,2020,Jul,13,8,5,0
164,2020,Aug,6,6,0,0
165,2020,Sep,3,2,1,0
166,2020,Oct,3,2,1,0
167,2020,Nov,9,7,2,0
168,2020,Dec,11,9,2,0
169,2021,Jan,12,6,5,1
170,2021,Feb,6,6,0,0
171,2021,Mar,11,7,4,0
172,2021,Apr,7,5,2,0
173,2021,May,13,8,5,0
174,2021,Jun,7,4,2,1
175,2021,Jul,11,7,3,1
176,2021,Aug,17,15,1,1
177,2021,Sep,12,9,3,0
178,2021,Oct,19,16,3,0
179,2021,Nov,11,8,2,1
180,2021,Dec,6,5,1,0
181,2022,Jan,14,10,4,0
182,2022,Feb,9,7,2,0
183,2022,Mar,3,3,0,0
184,2022,Apr,11,9,2,0
185,2022,May,12,11,1,0
186,2022,Jun,10,5,5,0
187,2022,Jul,8,5,3,0
188,2022,Aug,5,2,3,0
189,2022,Sep,9,6,3,0
190,2022,Oct,8,7,1,0
191,2022,Nov,14,10,4,0
192,2022,Dec,7,6,1,0
193,2023,Jan,12,10,2,0
194,2023,Feb,10,9,1,0
195,2023,Mar,10,10,0,0
196,2023,Apr,6,6,0,0
197,2023,May,7,5,2,0
198,2023,Jun,8,8,0,0
199,2023,Jul,8,7,1,0
200,2023,Aug,3,2,1,0
201,2023,Sep,7,7,0,0
202,2023,Oct,4,3,1,0
203,2023,Nov,10,5,4,1
204,2023,Dec,6,6,0,0
205,2024,Jan,13,7,4,2
206,2024,Feb,9,8,0,1
207,2024,Mar,7,6,0,1
208,2024,Apr,8,6,2,0
209,2024,May,6,5,0,1
210,2024,Jun,0,0,0,0
211,2024,Jul,1,1,0,0
212,2024,Aug,3,2,1,0
